x,y,z,j
3039.8,-2515.812,-37,33.93
4322.07,-1645.662,87,33.46
2794.65,946.857,12,27.27
4334.3,763.825,36,25.8
1082.86,-3054.299,-25,93.84
4849.79,189.939,-52,96.52
2568.64,-2560.462,84,96.06
-401.19,-791.597,49,11.24
1692.38,-4127.103,-35,51.96
934.45,-4406.082,3,83.16
2056.67,-2180.304,53,43.68
3816.96,-2812.754,23,72.49
-880.76,-3871.574,-56,31.22
4335.77,-4571.123,-59,10.56
3021.98,747.847,42,90.43
4146.64,-2144.47,-26,61.55
4661.21,-1524.137,-6,63.04
1683.29,-2503.321,-88,29.78
171.66,-56.426,-7,50.79
4665.1,-2304.398,25,38.75
1249.24,-424.343,43,12.79
4232.8,-3280.694,-14,44.63
868.88,816.047,-38,35.17
1049.08,-698.347,-36,13.11
3969.17,-4009.611,41,18.29
3427.08,-418.728,6,28.73
3.87,-2235.699,-79,15.81
438.88,-1528.616,-76,95.17
2686.59,-4244.583,7,97.6
4663.96,-2838.003,-39,51.58
2062.72,-4812.396,-77,35.19
2239.74,-2465.137,62,50.07
1838.43,-1213.236,-47,93.75
-668.33,-2852.632,61,59.33
12.42,-2406.002,-87,31.27
3851.86,-209.365,-64,98.34
3244.63,-4000.395,65,96.64
3577.39,-2736.952,61,27.68
4356.16,-4541.28,-85,14.25
-214.45,-588.72,83,38.78
366.02,-4196.882,42,95.26
3864.49,-1744.708,-14,87.72
3820.01,-1260.352,-60,10.06
3496.59,-3168.959,80,49.43
595.01,-3477.387,-87,55.17
2708.96,-3853.15,-13,95.53
-772.75,-2440.149,15,40.56
441.23,-1499.777,16,89.39
919.39,-1789.896,-78,30.28
1401.72,-4888.892,-32,74.57
3333.5,-1993.971,39,26.4
12.36,-4842.256,-8,69.12
2449.3,-3933.752,73,24.21
2656.7,-44.509,10,90.38
3380.96,-1224.494,-75,27.83
129.42,-700.03,20,96.75
1011.27,-1372.275,-4,28.34
2665.0,-2792.573,-87,96.07
-228.23,-3382.478,-73,74.85
-980.59,-4918.181,-57,93.02
4385.55,-3752.685,-1,10.32
3649.02,-4673.029,57,52.66
-539.52,-2418.182,77,14.48
4119.83,-3634.154,-5,38.88
2100.15,-206.031,8,82.18
3295.34,-4421.848,-14,52.2
4389.86,-126.022,18,98.1
724.14,232.218,59,66.78
3342.9,-1735.82,-75,49.34
970.53,-4788.106,89,92.27
1736.81,-1044.382,-32,45.8
-2.52,768.615,-100,67.97
4534.32,-2237.966,-44,82.69
1571.64,-1231.075,28,54.58
2313.93,-665.383,-100,27.04
3261.86,-4786.625,98,95.2
790.61,-2340.654,-41,65.88
-756.12,-2116.742,25,77.65
3526.82,-3483.259,73,46.76
2696.36,-3557.897,-78,36.12
3614.51,-4032.492,-66,69.99
1568.83,-1466.762,31,76.91
-765.97,-2237.42,98,75.74
1030.64,-4277.241,-88,78.41
-170.38,-1157.522,81,20.45
3305.53,-504.065,-82,19.83
494.08,-4749.324,-87,86.53
3265.58,-2584.28,51,96.91
434.94,-3661.785,-29,68.7
4081.07,-1199.899,65,76.99
1468.91,-1837.516,-94,88.75
3215.66,-3847.828,-70,55.79
2920.6,-3524.939,56,95.22
1606.4,-3492.255,64,57.25
4801.73,-1290.778,16,27.5
2986.31,-2.107,38,62.54
1336.52,-2599.779,31,95.7
2112.91,-4973.797,-37,77.28
1816.06,-3687.365,-31,66.74
2515.46,-2008.57,-66,97.71
3444.49,577.629,-83,45.66
3368.62,-2088.834,32,43.41
4018.75,-330.957,63,44.59
422.25,-1580.432,-11,38.95
-644.26,-1255.593,-41,42.83
2201.02,-1714.418,-95,29.17
4684.05,-2730.592,12,24.77
1089.67,-593.924,-14,27.21
307.19,-4041.357,25,81.87
2219.06,-4377.061,0,21.31
-620.85,-2012.009,-99,32.19
4584.01,-1822.111,-58,31.53
3474.97,-4892.5,89,67.83
2968.67,-1212.937,42,37.61
4523.05,-3432.286,-59,43.23
148.93,-4836.95,-1,29.11
4757.9,-1030.146,-70,19.74
2736.15,964.553,64,41.61
3011.66,-3520.627,-65,33.08
2069.1,-891.821,-75,39.06
4875.4,-267.883,-98,32.94
57.39,-943.493,-3,53.95
66.81,-3380.802,-22,79.33
2142.23,-4185.26,-43,32.68
1623.29,-533.777,65,37.94
4612.82,-2424.975,75,77.13
4515.01,593.646,52,61.19
-236.72,-1065.052,-3,50.25
595.27,-1145.735,-75,57.35
917.12,-4741.559,39,37.65
2902.32,-2651.958,8,14.18
438.36,-2656.525,-9,68.18
-180.26,-4665.118,85,12.11
4066.97,-1228.211,36,13.3
3655.76,-2978.518,15,84.58
1118.65,-4216.675,-73,65.0
3426.42,-215.615,-32,17.03
3675.52,-2615.82,77,68.1
3627.18,-2120.745,46,27.12
-293.37,74.108,62,44.25
1416.51,-3846.878,-32,88.24
4885.97,-4268.04,-65,41.4
1654.52,-1285.564,82,11.04
2332.06,-1258.68,45,81.4
2044.23,-4687.209,-6,83.33
3532.49,608.021,66,84.15
4874.92,-2711.378,0,17.77
2074.46,-182.781,40,43.46
1394.38,79.003,41,75.08
4058.17,-4378.61,-17,21.12
-231.83,-4922.552,73,84.81
-266.86,-2921.374,-38,28.94
3000.8,-201.756,37,14.85
4530.73,-1285.13,26,49.12
4460.52,-723.314,-49,26.2
2533.48,87.398,50,64.84
3200.73,-77.407,58,23.49
420.26,-4142.081,-37,27.46
-955.62,-4512.024,-99,87.05
4814.23,-1163.997,-63,53.58
2838.26,-1252.059,-90,29.02
3385.69,-3717.756,-43,47.51
-914.48,-164.219,20,99.89
4677.9,-4006.908,2,58.83
-675.8,-4171.075,-75,66.19
1116.48,-4419.093,-30,66.93
259.13,-585.213,-61,22.97
3128.06,164.446,-59,95.52
1366.99,-4690.116,95,82.33
1160.73,-3489.439,-96,23.62
4110.87,-2946.701,30,25.16
4971.25,-1469.963,-69,82.86
712.6,-4011.468,40,94.19
2431.95,-4635.532,-57,34.2
3579.31,-2398.617,-62,84.03
691.33,-1874.544,-56,77.64
-180.06,29.727,-48,22.62
4099.15,-2417.385,78,43.12
4693.66,-4164.639,25,48.81
4228.15,-3643.808,-35,57.78
466.59,-3884.363,-30,93.04
1306.63,-2088.794,-82,42.3
-486.17,-398.79,-12,71.69
3159.1,-3117.184,44,74.13
3217.06,-3765.283,30,29.96
3839.59,795.839,20,48.88
2695.94,-767.113,92,88.45
4336.16,-4684.853,37,76.68
3355.41,-149.026,94,89.18
688.93,147.254,-45,71.49
3185.53,-1410.6,46,63.93
4896.95,-3316.216,-79,10.82
2535.84,-33.246,-70,90.88
3864.89,-3371.85,13,35.09
339.58,-5.641,-79,51.52
4778.11,874.868,-92,10.48
957.56,-412.168,61,27.47
3633.33,-1.281,-36,79.17
-695.35,688.493,90,17.36
3335.31,-3490.06,70,94.02
1342.12,132.871,58,96.3
3971.91,-2556.772,-51,41.74
-752.28,-669.903,-16,93.05
654.54,-1309.748,81,81.94
4891.0,-514.663,-66,48.77
2343.06,-214.552,69,41.83
3539.11,-1407.897,66,92.87
317.99,510.208,-100,96.77
3203.38,-4846.235,-68,92.56
-358.83,-3265.963,-36,73.21
-75.4,-1337.887,29,63.2
1912.03,-616.249,-2,21.65
1179.65,-2195.237,-5,97.0
1769.1,-2344.421,91,55.05
2774.4,-1550.918,73,20.91
131.78,-1806.56,79,88.9
-396.25,-3932.629,98,47.5
1890.9,-607.364,-48,69.24
4365.07,144.209,-8,85.55
4891.19,-553.592,-64,85.88
3541.92,-1986.682,100,47.09
2147.37,394.433,86,50.17
-182.03,-2707.663,-89,17.23
2411.78,610.355,20,98.32
4313.43,-3542.27,21,77.24
2297.03,108.489,-67,83.94
4229.3,-1850.833,-78,59.44
-502.39,-120.093,-38,27.42
4172.64,-4096.911,13,52.84
1347.75,-4050.188,-78,73.44
1672.79,-730.87,22,39.26
1288.1,-414.3,-66,56.23
2652.3,287.462,12,17.9
4563.66,-4872.894,-31,44.59
-195.79,109.01,42,58.8
3470.65,-4608.044,-34,40.1
3409.89,-3294.117,80,92.09
4934.24,-2864.69,25,63.77
1304.07,-2936.572,67,96.29
3902.7,-3516.92,33,36.53
1391.81,-4647.053,-19,70.36
2720.92,-820.143,57,14.59
-336.02,-260.07,73,23.21
-627.68,-3416.54,54,84.86
1550.73,-83.372,50,70.9
1784.89,-4420.354,40,75.49
4567.12,-3043.101,25,22.36
-626.65,-2157.31,95,41.72
1551.38,-532.324,17,34.36
1068.88,-4063.49,-52,72.82
4687.54,-4725.032,73,81.43
869.54,721.351,73,83.36
1312.82,-4471.373,-16,47.86
-994.62,-744.187,47,45.79
2274.86,-2915.974,22,23.29
4976.95,871.85,40,68.55
-628.02,-899.868,-75,29.68
151.13,-2513.271,-24,44.15
4468.39,-2083.866,-40,31.25
4039.78,188.613,-30,11.92
1995.78,-3119.817,23,63.15
-786.5,-1516.531,-80,69.78
4317.63,-1357.196,-82,69.3
2625.19,-3215.754,-60,50.45
10.4,-3682.438,-12,13.06
3594.71,-2126.509,49,59.46
2659.45,-1544.881,34,79.41
2261.59,-1489.155,57,56.88
2441.74,-1177.667,-35,27.01
4569.4,-3414.512,-91,35.74
655.58,-3221.754,-24,75.51
-457.28,-1988.693,43,74.18
2221.27,-3839.273,2,70.63
962.58,712.571,-40,65.79
629.86,68.774,-20,99.3
4353.02,551.737,27,63.56
1562.31,452.398,52,10.38
2590.64,762.105,-39,33.78
3090.28,-1904.975,-77,51.5
-497.92,-4899.959,-93,30.76
4225.29,-1063.614,-92,29.58
2663.17,-1974.985,95,35.46
2161.38,-2054.481,-54,85.38
1078.06,-2892.29,22,65.69
2329.13,164.924,39,96.06
961.63,-4805.007,61,48.92
3039.3,-3549.689,-66,58.66
2309.72,-3873.205,21,77.4
1797.6,-3888.253,-20,78.24
-194.42,-4463.958,-89,98.44
3982.47,883.844,-6,67.23
4123.34,-2007.974,-33,75.2
665.98,-3395.911,91,14.58
1577.24,-4025.549,-9,83.2
3190.0,-2389.73,-37,51.22
3513.3,-1391.284,52,85.11
-597.93,942.053,-63,49.51
4925.75,37.904,75,46.94
3872.83,-2124.945,-26,96.37
1236.69,-135.457,-36,31.56
4623.62,-458.696,-21,30.18
-361.86,773.735,-11,12.73
4429.05,558.884,96,21.64
2456.21,-3136.995,-7,68.66
-828.18,-1922.635,-42,75.23
671.56,-4532.407,6,70.2
-131.3,-3287.225,-57,46.04
4757.73,-214.454,8,79.43
2989.75,-4426.496,55,99.81
625.8,-334.078,58,49.87
1157.41,-325.99,-55,93.56
-917.58,-3898.588,-67,79.58
-380.84,-2403.07,58,68.03
3182.45,-71.185,92,87.1
90.06,-521.482,28,29.46
2930.57,-2378.975,62,92.35
1884.64,-1278.782,-16,62.71
979.01,-2685.243,28,97.49
2333.44,-2159.52,-98,84.1
-747.18,231.198,11,64.09
2644.37,-2963.524,20,33.98
-174.58,-1730.815,48,30.85
-182.5,266.222,-33,59.31
1916.27,-1502.163,21,76.08
4095.08,-4931.294,28,70.94
846.21,321.865,57,60.85
1083.59,-3739.458,-44,10.54
1096.83,-4023.593,-4,77.48
3310.95,211.902,51,64.73
-835.09,-2971.341,-53,59.35
2356.66,-3394.185,-74,20.86
-895.96,-3738.398,-26,84.63
4281.67,-1752.921,31,58.46
142.18,-3183.417,-57,97.59
902.04,-181.934,22,26.01
198.72,7.531,-93,35.8
326.23,-4946.326,56,69.64
2623.64,-2205.862,-68,25.84
863.01,837.913,31,65.25
2679.81,-2836.498,22,80.59
4619.88,-4724.1,99,93.71
4031.14,-786.172,26,23.63
4771.41,-4418.319,54,98.48
-325.57,-2293.908,6,20.39
3322.55,-4742.946,-55,85.04
1241.58,-2074.355,-60,34.27
-89.94,-2935.286,-36,33.23
4963.39,-411.745,-43,36.19
1010.38,-3948.085,0,32.48
1203.16,-2963.348,40,17.74
-741.54,534.051,46,36.1
-266.23,848.48,-39,62.9
4685.2,-159.15,38,15.34
4464.95,537.458,-37,86.44
3255.87,705.025,35,24.07
-452.66,-3902.454,92,28.91
3488.71,-1289.607,-25,70.07
-38.62,-3529.535,14,68.5
3579.12,-3758.6,-64,62.11
961.13,-2901.327,-92,38.35
1113.03,9.386,5,18.28
925.44,-1460.021,-63,33.13
812.61,-275.011,-62,86.98
-552.88,972.235,-12,60.09
2232.98,-469.442,45,52.31
814.99,-1522.432,-57,48.52
2694.14,-331.127,3,45.55
3655.75,-4672.451,0,61.29
-39.7,-946.278,69,57.41
2990.32,-3129.173,3,21.43
2749.12,-68.9,39,90.36
33.71,-932.862,-69,88.15
4327.49,-1556.1,-86,62.88
-557.57,-4000.445,71,73.99
3929.72,-190.659,37,71.48
1111.09,-2496.346,-87,10.83
2251.54,-2907.099,-36,91.68
1158.33,-2465.441,-27,17.43
4591.88,-1966.892,-66,81.67
4182.92,-4373.275,-13,24.68
4760.48,-1952.801,47,94.5
2255.77,-2681.645,-7,71.2
4799.14,-751.342,91,67.73
4027.47,-2548.189,-75,36.02
1621.05,6.721,30,96.61
1812.9,-1779.057,-21,24.28
-663.52,-1919.708,-96,87.64
4388.45,405.679,94,56.73
3785.04,-3685.376,-67,59.75
1377.48,-2486.364,72,90.27
-123.29,-4098.524,93,84.46
3903.31,147.276,-12,73.29
4674.08,-2458.652,-42,22.37
4277.17,-3298.699,75,55.68
-58.04,-4494.562,-74,15.39
3127.46,-3659.849,-10,79.32
2302.09,-1270.397,-43,67.09
1505.7,-3390.643,-55,17.23
-740.1,-1089.914,59,85.11
4436.66,-637.564,-62,67.26
3624.11,141.95,72,94.68
26.81,-1924.175,-97,91.5
632.49,-4330.953,43,40.19
-135.58,-4443.002,-93,35.02
203.77,-789.086,-40,56.24
590.21,-4706.67,15,94.51
148.37,948.373,-70,99.18
4890.16,-2348.519,-24,15.29
2696.46,-158.691,-100,17.48
2132.55,-1261.012,-43,24.37
-406.75,-4625.809,31,96.67
4741.71,-2565.528,-42,11.67
4776.18,-4825.88,-32,96.56
1141.35,-4653.448,44,98.47
-142.75,-1097.223,48,56.51
2044.6,-3098.132,82,84.34
1107.04,-2494.689,-52,77.35
3963.84,-2016.846,-89,30.16
532.05,-1604.11,45,24.7
1521.18,-4728.264,86,45.54
-183.73,-1318.47,54,50.88
3662.84,-1351.175,-6,89.85
3840.88,-229.824,-80,61.72
3032.84,-2253.339,-48,32.45
976.58,-1256.45,52,31.1
3976.49,564.178,11,87.69
2282.8,-4187.183,-90,57.31
2642.65,-1079.016,25,45.4
3078.02,-714.378,80,31.59
2098.15,-134.744,23,35.02
3389.12,-2465.522,21,71.14
-527.58,-4145.443,-17,20.96
1700.35,-4636.899,-5,38.69
170.76,-2476.782,-43,12.27
1156.16,395.984,88,31.73
4450.88,-1846.799,51,83.68
4976.62,-595.714,-46,48.25
1763.84,-2808.399,25,80.18
1165.44,-1136.068,41,19.42
274.38,-3287.934,7,52.03
-144.56,-1694.128,-20,79.21
4287.42,-1874.9,-95,25.85
994.01,-461.767,4,45.34
4088.0,-1768.501,67,61.97
3260.56,-1708.618,44,39.35
-594.93,-2826.769,28,47.45
4353.78,-3018.189,-83,65.77
4797.76,-340.11,7,40.76
3793.52,-3327.284,95,67.4
-268.97,-4772.14,-76,74.98
1524.06,-783.805,82,41.27
600.72,-1567.785,78,66.43
568.33,-2843.275,93,10.48
1568.38,-595.815,42,21.68
-984.68,-404.247,90,62.89
2014.26,636.756,-17,61.48
4836.19,-1471.781,75,82.47
4241.13,-1768.223,24,98.07
2869.28,-3705.516,-96,37.91
109.58,-3703.107,-74,68.88
2696.8,230.235,29,49.91
2983.05,-2212.767,27,72.68
2781.41,810.504,-1,20.22
1088.55,-174.82,-57,66.14
2386.83,-4852.383,3,47.45
612.38,-771.45,-52,82.22
-177.79,-3505.913,-87,76.87
3880.09,-4941.628,-8,35.25
1179.52,30.979,-68,41.12
3338.95,987.64,20,99.54
1255.99,-683.574,24,80.95
3710.6,-551.276,16,50.15
4545.54,-4570.279,100,69.91
-630.4,-2567.598,-68,28.12
3833.98,870.331,-90,72.32
139.36,-2850.352,-72,10.61
1924.42,-4130.409,90,91.81
-921.86,-842.267,-87,19.03
3152.2,-2245.76,-97,61.06
747.99,-830.173,-14,48.87
2408.61,-3651.957,-67,77.06
4833.15,-1027.461,95,60.09
603.0,-369.947,-46,25.47
3616.75,-3587.446,-34,97.04
2668.99,-480.443,-89,51.9
-339.32,-334.045,-98,70.23
863.18,-1961.616,-15,36.79
4984.81,-1582.416,13,65.78
-714.27,-1047.66,37,39.5
-238.56,-2610.234,-16,75.84
-890.39,-4371.02,-50,18.03
-822.13,-3500.669,-20,88.08
322.83,-2201.807,16,51.93
3318.24,-4650.562,32,64.94
1150.03,-2064.439,2,31.25
1513.41,133.522,14,48.27
3437.48,-2459.64,33,42.76
1233.38,935.092,-3,52.18
576.51,-3862.633,-83,85.33
4955.13,-3454.114,-63,56.48
3677.52,-2706.105,-3,12.22
3327.35,296.171,-100,25.92
-780.64,-14.307,-40,53.38
3178.34,-4221.445,65,47.97
1585.55,-2334.914,-47,83.61
4799.31,-2832.137,74,58.1
3708.98,-4189.884,84,16.96
102.08,-49.533,81,93.23
3159.77,-83.803,100,20.5
3119.06,-1885.051,-20,92.97
3308.87,775.264,-95,66.15
931.39,-2944.349,79,14.68
638.0,438.229,-84,47.28
2474.25,580.463,54,28.37
2563.03,59.911,-45,73.31
2861.95,-4011.675,80,48.17
1022.58,-589.917,-12,35.55
2123.93,-3321.005,-43,50.52
706.97,-2027.712,-31,67.2
-968.04,-4763.515,-11,36.21
4198.13,-3447.659,-73,15.17
3925.11,-3950.117,62,74.16
2938.16,-2664.593,-65,44.35
3446.08,-1200.606,49,97.08
1248.32,-3073.682,-60,67.47
678.08,-1175.315,95,47.46
1263.21,-2868.161,-69,17.25
2618.1,140.237,89,27.68
-258.57,-2114.307,-23,98.75
3149.68,549.17,13,34.82
2233.48,-2755.856,-60,83.23
3751.12,-3225.871,-86,42.95
-293.99,-2413.132,32,80.47
-590.83,-2405.027,11,80.75
3038.25,-448.599,-100,83.43
4120.77,628.836,-99,13.99
1903.18,-4844.943,-85,99.43
2484.57,992.744,12,52.01
392.21,-1357.542,-18,33.04
3887.52,-3128.733,64,49.16
762.95,-4123.721,44,42.13
3278.33,-2028.171,77,68.28
-362.89,437.96,-33,70.37
3320.51,-4107.49,-84,42.22
3142.49,-1441.989,74,70.79
-44.02,344.561,-16,70.35
1870.38,77.178,-30,71.49
-984.04,-2720.727,-49,81.2
-302.95,-2233.071,14,81.84
-848.6,-1419.18,-42,88.79
2735.92,-4397.125,10,92.18
4456.96,-4498.769,65,12.61
844.48,-2817.631,-100,90.03
3565.78,675.491,4,89.26
1600.68,-2317.365,-33,92.45
1327.48,-1832.828,39,42.43
2575.81,-2326.32,37,13.33
4350.86,-1469.356,29,55.06
1100.23,-1582.032,23,82.91
2639.89,-4506.178,93,40.76
3377.74,-4895.879,-41,80.41
2413.78,-3032.402,32,35.3
4600.54,-3879.251,-69,79.42
4505.41,-3587.295,-99,56.15
4885.02,-4782.728,24,63.92
3960.45,-2473.264,-20,98.63
-899.01,-3665.369,30,69.99
-4.39,-1730.078,97,45.63
4774.88,-1906.786,78,63.78
1293.1,474.454,51,13.98
-99.06,-3.705,22,98.39
4272.7,-1079.476,-15,11.34
442.8,-1470.137,-13,37.79
4797.23,-4651.516,-27,36.54
123.53,-3221.892,94,31.5
2917.28,648.584,-21,33.64
4289.87,301.194,-80,52.65
4016.05,-4303.4,83,19.39
4710.82,149.218,-85,65.06
1574.32,-1340.039,63,83.36
467.4,-3185.995,-39,82.06
-520.94,-1495.114,-26,34.07
1242.07,-3197.707,-19,91.28
2056.78,-917.433,-31,69.51
-659.59,-2377.405,-52,65.33
-595.64,-4213.795,-95,63.05
23.27,-1664.037,-33,12.45
2234.68,23.063,27,62.02
916.3,-2374.184,-14,81.53
3694.8,-4840.858,95,75.81
3707.43,-2750.345,-39,96.59
2890.46,-2610.906,57,73.09
4086.29,-2143.91,92,43.38
2702.27,-3615.313,55,16.07
3883.03,64.495,-52,49.42
4532.15,-1281.292,83,89.51
205.17,952.782,97,26.66
4055.03,-1506.594,65,52.23
-183.19,-3471.034,-98,81.98
2261.35,-4737.229,-82,59.73
4622.27,-97.455,45,97.06
4545.24,-3386.832,16,57.99
4592.34,-353.74,-97,15.65
4361.18,149.202,-47,66.72
3451.02,-3052.261,-73,28.96
2691.72,-3099.275,35,44.56
2899.61,-2934.714,58,62.75
376.53,13.15,1,33.57
4932.27,-1175.333,100,40.73
4452.81,-2734.938,71,96.53
1816.79,-637.847,-47,63.83
1135.46,368.848,-55,88.19
444.17,777.357,15,55.28
738.79,959.893,50,78.05
-934.88,-4958.012,88,40.62
1395.83,-4483.364,81,32.27
-131.53,-1553.06,-80,33.2
1780.48,-2125.627,81,68.78
334.58,-2126.976,-62,17.82
1469.64,-596.778,67,80.38
2238.95,-2788.494,73,88.71
4244.93,686.373,88,57.53
-824.5,-4783.173,-55,42.74
3078.18,-4526.658,-29,29.79
